%!I(MISSING)D	X	Y	Z	SNR
597	838.013632	102.460685	1.100000	-100.00
598	532.183534	58.047074	1.100000	-100.00
599	849.017329	32.243798	1.100000	-100.00
600	640.030367	-92.385186	1.100000	-100.00
601	409.975622	-67.866792	1.100000	-100.00
602	375.188780	27.897861	1.100000	-100.00
603	546.776778	221.765834	1.100000	-100.00
604	694.302416	255.179401	1.100000	-100.00
605	834.208494	170.156220	1.100000	-100.00
606	821.284718	-150.118247	1.100000	-100.00
607	684.582848	122.055482	1.100000	-100.00
608	501.373805	-191.761416	1.100000	-100.00
609	759.730395	-235.440982	1.100000	-100.00
610	671.152700	-106.876602	1.100000	-100.00
611	408.703101	-84.205930	1.100000	-100.00
612	431.559031	85.399599	1.100000	-100.00
613	512.547914	216.337039	1.100000	-100.00
614	483.634380	2.321281	1.100000	-100.00
615	667.142573	-143.448684	1.100000	-100.00
616	342.212261	-40.855838	1.100000	-100.00
617	763.115810	15.120324	1.100000	-100.00
618	791.053984	-119.146507	1.100000	-100.00
619	317.047806	53.795070	1.100000	-100.00
620	824.001239	-48.246039	1.100000	-100.00
621	709.344461	105.565903	1.100000	-100.00
622	627.224244	239.714777	1.100000	-100.00
623	421.988203	-111.522285	1.100000	-100.00
624	860.361387	-59.095007	1.100000	-100.00
625	322.505233	-96.018617	1.100000	-100.00
626	649.211424	1.491971	1.100000	-100.00
627	827.698069	206.714712	1.100000	-100.00
628	826.937978	191.661915	1.100000	-100.00
629	693.913474	276.047693	1.100000	-100.00
630	520.373552	-52.472714	1.100000	-100.00
631	513.028517	104.580676	1.100000	-100.00
632	776.884362	-147.555336	1.100000	-100.00
633	363.234481	138.639858	1.100000	-100.00
634	635.166638	-267.801051	1.100000	-100.00
635	643.234915	-168.080430	1.100000	-100.00
636	535.311542	-302.902148	1.100000	-100.00
637	650.883275	-191.980851	1.100000	-100.00
638	696.305707	-206.406077	1.100000	-100.00
639	831.705400	138.298123	1.100000	-100.00
640	420.143942	-90.475220	1.100000	-100.00
641	838.997060	-82.385333	1.100000	-100.00
642	672.471309	186.861453	1.100000	-100.00
643	819.930270	124.415984	1.100000	-100.00
644	588.809514	-90.800658	1.100000	-100.00
645	600.091448	-53.925730	1.100000	-100.00
646	521.448381	199.452473	1.100000	-100.00
647	359.744446	-176.576072	1.100000	-100.00
648	722.863361	123.016567	1.100000	-100.00
649	486.213704	64.659646	1.100000	-100.00
650	808.067504	167.690333	1.100000	-100.00
651	399.163937	210.417387	1.100000	-100.00
652	647.894739	67.446025	1.100000	-100.00
653	587.605126	-213.846793	1.100000	-100.00
654	524.384094	206.214055	1.100000	-100.00
655	783.366480	142.007658	1.100000	-100.00
656	811.679214	107.777111	1.100000	-100.00
657	733.466805	197.958226	1.100000	-100.00
658	780.985859	-226.711847	1.100000	-100.00
659	787.168365	180.444184	1.100000	-100.00
660	531.857566	244.583899	1.100000	-100.00
661	441.413149	-181.519846	1.100000	-100.00
662	559.142574	107.289378	1.100000	-100.00
663	798.645806	-95.086213	1.100000	-100.00
664	707.813641	268.795819	1.100000	-100.00
665	765.406072	69.591144	1.100000	-100.00
666	733.266512	204.064309	1.100000	-100.00
667	904.377821	-111.547884	1.100000	-100.00
668	582.867733	-310.834837	1.100000	-100.00
669	360.758157	-6.248859	1.100000	-100.00
670	444.199575	-86.378945	1.100000	-100.00
671	507.370721	-61.458680	1.100000	-100.00
672	893.177636	-46.108110	1.100000	-100.00
673	728.628984	-85.704526	1.100000	-100.00
674	807.356860	29.886793	1.100000	-100.00
675	835.095275	-130.318460	1.100000	-100.00
676	567.409210	270.189596	1.100000	-100.00
677	600.048320	-252.868922	1.100000	-100.00
678	402.043783	33.668307	1.100000	-100.00
679	824.867930	48.553376	1.100000	-100.00
680	365.776586	165.926234	1.100000	-100.00
681	738.862906	262.604142	1.100000	-100.00
682	332.249676	-109.285482	1.100000	-100.00
683	712.989766	-7.453880	1.100000	-100.00
684	468.143002	-46.536517	1.100000	-100.00
685	367.481924	34.241987	1.100000	-100.00
686	308.865154	120.314010	1.100000	-100.00
