TAG,SINR,DISTANCE,RXNODE,TXNODE
2,15.43,301.70,4076,8
2,27.69,135.64,6471,31
2,21.77,210.24,4052,26
2,12.46,308.54,8539,54
2,13.83,301.23,8710,55
2,22.43,163.34,9438,37
1,3.03,136.81,2138,23
2,8.21,295.93,2337,23
2,9.82,168.79,7558,33
2,13.04,251.41,98,19
1,2.34,298.36,5775,11
2,20.85,185.71,8000,34
2,12.34,255.29,6543,31
0,-2.82,55.23,943,39
2,9.56,294.35,3399,44
2,15.90,265.31,4138,27
2,8.42,341.31,5161,29
2,24.10,106.16,5443,48
1,3.50,282.68,1657,3
2,12.54,285.74,4610,47
1,4.46,325.58,4748,10
1,1.92,203.56,5347,10
2,22.96,195.67,5524,29
2,12.78,174.00,6743,51
0,1.04,284.00,7989,34
1,3.75,375.57,8443,15
2,9.97,251.05,1064,2
2,10.58,285.51,2383,42
2,27.55,129.64,4080,46
0,-3.71,586.68,2814,35
0,-0.95,307.12,3169,25
1,5.45,215.05,4336,27
0,-0.99,577.77,6216,23
2,24.89,121.76,9308,56
0,0.44,231.60,141,0
2,18.87,88.36,862,39
0,-2.26,336.22,1271,21
2,19.45,128.20,9031,55
2,17.50,245.48,9206,56
0,0.11,321.75,9400,37
2,26.62,135.69,784,20
2,29.62,116.71,5111,29
1,3.07,239.98,6246,12
2,26.63,135.11,596,39
2,15.72,241.88,3215,44
2,12.20,289.73,7231,33
2,13.02,282.15,5747,49
0,-0.34,65.67,6739,32
1,4.95,298.03,7929,15
2,8.02,337.33,2878,38
1,1.43,328.85,3420,25
1,4.85,333.95,3721,1
2,13.93,284.29,9231,56
2,20.43,197.36,4490,8
2,11.76,306.70,6854,33
0,-0.02,253.72,6881,13
2,20.91,170.31,7957,15
1,5.95,342.08,9213,6
2,16.19,282.69,4180,8
2,10.53,262.02,5006,47
0,0.04,299.91,5422,48
2,31.88,152.49,7609,53
2,14.15,291.27,8170,16
2,22.16,159.60,124,38
0,-2.18,597.51,4474,2
2,11.43,316.46,7117,34
2,17.16,221.42,1984,22
2,6.51,59.98,2038,3
2,19.51,220.52,9401,56
1,2.22,266.68,8670,17
2,21.00,108.63,2670,43
2,12.54,252.78,4782,28
2,29.02,132.53,6132,31
2,10.26,237.11,2215,23
1,4.07,352.02,3770,1
2,15.21,252.39,6177,12
1,3.21,248.19,9235,37
1,1.60,69.57,617,39
0,1.08,355.45,851,0
1,2.14,336.79,1675,12
1,2.36,387.32,4401,2
2,21.76,179.13,8087,54
2,21.75,178.87,597,20
0,-0.09,149.94,1133,40
2,6.13,375.56,4345,2
2,19.76,276.00,7921,53
1,4.62,311.22,8241,54
2,22.31,80.73,8310,35
2,17.00,274.40,8623,55
2,11.92,308.70,8967,56
2,11.31,284.15,1311,40
2,14.80,145.52,6610,13
2,20.49,223.48,7594,34
2,20.17,111.40,6318,31
2,21.97,71.60,6723,51
2,6.43,243.98,8318,54
2,14.58,205.57,122,0
2,12.82,289.43,5734,30
2,14.89,258.52,6170,12
2,22.93,198.15,3896,26
0,-0.43,378.54,7066,34
2,23.70,105.01,7399,33
2,23.31,176.05,8498,16
2,10.78,300.08,1526,40
1,1.86,332.46,3498,36
2,12.59,84.06,3855,45
2,22.84,198.15,9111,18
1,3.91,343.72,911,37
2,12.83,229.27,4256,46
2,26.33,147.77,8319,54
2,13.29,250.29,7588,15
2,8.62,182.89,2185,4
2,15.46,249.36,4602,9
2,6.72,255.70,6582,51
1,4.56,314.18,7211,52
2,10.84,280.70,8122,16
1,5.27,359.03,2738,38
2,19.41,187.07,4820,28
2,22.19,158.48,6882,32
2,23.11,130.88,4880,28
2,7.34,189.48,6130,50
2,10.40,147.99,7289,33
2,25.08,172.03,7940,34
0,-2.11,564.09,503,4
2,19.21,184.42,2263,4
2,24.71,153.78,3624,7
2,10.00,293.95,4185,46
2,22.49,186.31,9492,56
2,10.35,89.30,3154,44
2,16.63,90.39,3747,45
2,9.19,337.46,3947,7
2,15.39,151.46,8346,54
2,11.70,323.42,8624,17
2,23.52,184.81,9537,56
1,3.93,333.52,758,46
1,2.72,390.04,5608,22
2,20.74,219.59,5936,49
2,7.94,249.40,7400,33
2,15.93,290.25,8109,54
2,13.04,298.05,9153,56
0,-0.13,381.91,457,4
2,26.50,108.49,3547,6
1,2.01,82.69,3692,7
1,3.08,262.93,1777,3
1,5.03,368.06,6069,49
2,23.07,124.24,8194,16
2,18.37,164.80,3222,25
0,-2.78,614.67,4352,26
1,1.14,320.31,5544,48
2,27.21,85.99,118,19
2,14.40,116.85,425,19
1,4.13,335.12,2229,13
2,17.85,250.49,3751,45
2,17.94,132.51,1204,2
0,-0.04,199.22,3366,25
1,5.70,371.38,3370,5
2,6.11,236.30,2828,24
2,14.84,232.14,3562,6
2,18.58,70.27,6918,13
2,23.85,162.70,7030,32
2,15.95,272.05,7617,34
2,11.20,282.89,848,20
2,22.85,148.03,1045,1
1,3.99,279.29,2630,5
2,9.80,60.07,3878,7
2,12.18,61.45,6656,13
2,9.70,299.31,510,0
2,13.59,247.09,760,39
1,2.87,359.80,1593,19
1,5.54,350.49,2798,38
0,0.34,284.50,3107,6
0,-0.93,604.43,7938,43
2,28.03,90.10,6625,32
2,14.44,168.86,9048,36
2,12.65,140.88,2085,23
2,23.51,187.89,5951,11
0,-2.27,593.49,8344,15
2,24.67,88.67,4751,9
2,20.69,270.31,5741,30
1,2.05,367.74,6968,33
2,6.06,235.44,9266,37
2,8.86,284.89,754,1
2,28.11,167.34,3645,7
2,7.59,156.58,3992,26
2,20.37,219.06,8605,55
2,6.24,321.95,3555,5
2,15.72,295.88,4274,8
2,27.49,86.35,6633,13
2,16.70,240.06,7491,33
2,15.96,291.07,9273,18
2,18.91,192.70,1399,2
2,11.28,282.25,2125,4
2,11.87,202.13,2761,24
2,6.35,267.94,6574,51
1,2.16,151.82,7819,15
2,13.84,146.30,8595,36
2,14.71,227.86,1930,22
2,6.39,195.34,4322,46
2,7.70,138.27,4623,9
2,23.23,168.57,7226,14
2,14.28,167.36,2405,42
2,7.18,133.49,4549,27
2,10.39,175.59,5911,11
2,13.72,295.97,3600,45
2,15.49,267.45,5099,29
2,21.12,218.05,5746,11
1,4.01,189.63,7752,15
1,3.93,305.26,8940,17
2,16.92,225.52,1895,22
2,8.68,157.27,2943,24
2,10.17,311.84,3361,39
2,27.99,133.42,6966,51
2,23.15,196.81,7950,34
2,28.56,115.01,9157,37
2,20.70,161.75,2578,24
1,3.48,204.55,2930,43
2,6.70,283.39,6289,50
2,9.57,229.62,8618,36
2,17.58,220.40,1553,40
2,21.28,260.09,3706,7
2,6.85,362.53,4459,26
2,18.81,198.44,3793,7
0,-0.40,267.31,5957,49
2,12.92,245.70,6910,32
0,-0.49,392.09,2110,24
2,6.27,286.40,3929,26
2,15.89,129.72,5836,49
0,-0.00,348.21,245,25
2,13.37,159.75,8179,54
2,16.43,138.18,7816,15
2,12.66,243.45,7969,34
2,8.00,253.50,9079,18
2,15.83,241.09,2579,24
1,4.60,170.33,2645,5
1,4.84,57.35,4448,46
2,9.77,147.61,5185,10
2,17.10,77.41,2751,24
1,5.18,293.41,3403,44
2,25.07,84.71,3568,26
1,5.83,249.78,4811,9
2,9.13,192.73,4902,47
0,0.20,349.42,9145,6
2,21.64,187.92,7764,15
1,4.56,393.92,8608,16
